,gameId,platformId,gameCreation,gameDuration,queueId,mapId,seasonId,gameVersion,gameMode,gameType,teamId,win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,vilemawKills,riftHeraldKills,dominionVictoryScore,participantId,championId,spell1Id,spell2Id,highestAchievedSeasonTier,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,creepsPerMinDeltas_10-20,creepsPerMinDeltas_0-10,creepsPerMinDeltas_20-30,xpPerMinDeltas_10-20,xpPerMinDeltas_0-10,xpPerMinDeltas_20-30,goldPerMinDeltas_10-20,goldPerMinDeltas_0-10,goldPerMinDeltas_20-30,csDiffPerMinDeltas_10-20,csDiffPerMinDeltas_0-10,csDiffPerMinDeltas_20-30,xpDiffPerMinDeltas_10-20,xpDiffPerMinDeltas_0-10,xpDiffPerMinDeltas_20-30,damageTakenPerMinDeltas_10-20,damageTakenPerMinDeltas_0-10,damageTakenPerMinDeltas_20-30,damageTakenDiffPerMinDeltas_10-20,damageTakenDiffPerMinDeltas_0-10,damageTakenDiffPerMinDeltas_20-30,lane,role,creepsPerMinDeltas_30-end,xpPerMinDeltas_30-end,goldPerMinDeltas_30-end,damageTakenPerMinDeltas_30-end,csDiffPerMinDeltas_30-end,xpDiffPerMinDeltas_30-end,damageTakenDiffPerMinDeltas_30-end
81,519535706,LA1,1516952990537,1274,420,11,11,8.2.215.824,CLASSIC,MATCHED_GAME,100,False,False,False,False,False,False,False,0,0,0,0,0,0,0,3,59,4,11,GOLD,1409,2031,1001,3083,1029,1029,3341,1,5,7,0,1,0,467,0,0,0,0,0,75078,24248,44817,6012,0,4021,624,3307,89,4506,1,9615,0,0,16,9,18693,5099,12477,1116,6532,6475,0,18,81,64,4,339,11,1,0,8,2,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112.0,452.0,0.0,0.0,8143.0,174.0,0.0,0.0,8138.0,6.0,0.0,0.0,8105.0,5.0,0.0,0.0,9111.0,201.0,0.0,0.0,9104.0,15.0,30.0,0.0,8100.0,8000.0,,,,1.6,0.2,,440.1,278.7,,308.2000000000001,259.8,,-0.9999999999999998,0.2,,-145.29999999999995,-33.05000000000001,,1096.1999999999996,513.0999999999998,,617.3499999999998,146.85000000000005,,JUNGLE,NONE,,,,,,,
41,646155585,LA1,1545858584091,1646,420,11,12,8.24.255.8524,CLASSIC,MATCHED_GAME,200,True,True,False,True,True,True,False,10,1,1,3,0,0,0,9,98,4,12,GOLD,2003,3748,3068,3111,3211,3067,3363,4,3,17,2,1,1,480,0,0,0,0,0,115169,40213,72488,2467,0,13286,5435,7850,0,2576,1,26215,13413,8405,8,21,17789,3347,14034,408,11083,9950,0,164,4,0,0,161,16,0,0,5,0,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437.0,1173.0,840.0,0.0,8446.0,3498.0,0.0,0.0,8429.0,63.0,16.0,13.0,8451.0,200.0,0.0,0.0,8304.0,9.0,3.0,0.0,8352.0,75.0,375.0,0.0,8400.0,8300.0,5008.0,5008.0,5002.0,6.4,6.5,,584.1,459.0,,455.6,269.4,,-0.3999999999999999,0.7999999999999998,,35.400000000000034,64.30000000000001,,739.5,367.1,,312.2000000000001,70.39999999999998,,TOP,SOLO,,,,,,,
27,649540551,LA1,1546660141126,2269,420,11,12,8.24.255.8524,CLASSIC,MATCHED_GAME,100,False,False,False,False,False,True,True,4,0,0,2,0,1,0,2,516,4,12,GOLD,1054,3025,3083,3111,3379,0,3363,5,7,12,2,1,1,564,0,0,0,0,0,114679,47855,66179,644,0,20699,14045,6458,196,2531,1,70777,2503,2290,3,53,39704,8992,27054,3657,11731,11100,1,149,1,0,1,901,17,0,0,2,1,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437.0,1240.0,1194.0,0.0,8446.0,1274.0,0.0,0.0,8429.0,73.0,14.0,16.0,8451.0,229.0,0.0,0.0,8304.0,9.0,3.0,0.0,8352.0,87.0,450.0,0.0,8400.0,8300.0,5008.0,5002.0,5001.0,5.199999999999998,4.699999999999998,3.5,453.5,399.1,575.5,295.2999999999999,222.7,367.8,,,,,,,602.2,468.4,1177.6,,,,TOP,DUO,2.2,393.2,391.6,1632.8,,,
52,622803703,LA1,1540662953009,1390,420,11,11,8.21.250.9462,CLASSIC,MATCHED_GAME,200,False,False,False,False,False,False,False,0,0,0,0,0,0,0,6,98,4,3,GOLD,3096,3109,3117,0,0,0,3340,1,7,3,0,1,0,523,0,0,0,0,0,8005,1340,4105,2559,0,3742,1119,2622,0,51,1,16395,2726,0,5,20,17469,6771,9306,1391,4703,4125,0,4,0,0,0,101,10,1,0,3,1,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8465.0,1528.0,0.0,0.0,8473.0,311.0,0.0,0.0,8429.0,56.0,14.0,10.0,8451.0,70.0,0.0,0.0,8304.0,9.0,3.0,0.0,8347.0,0.0,0.0,0.0,8400.0,8300.0,,,,0.2,0.2,,247.6,274.4,,181.9,187.4,,-1.9,-1.3,,-163.10000000000005,-40.09999999999997,,1133.3,223.2,,487.4,15.799999999999983,,BOTTOM,DUO_SUPPORT,,,,,,,
15,652424256,LA1,1547350459679,2049,420,11,12,9.1.257.7563,CLASSIC,MATCHED_GAME,200,False,True,False,False,False,False,False,0,0,0,2,0,0,0,10,6,4,12,GOLD,3800,3193,3082,3071,3111,3076,3363,4,11,6,0,1,0,556,0,0,0,0,0,157086,640,148030,8416,5,20331,257,19589,484,1795,1,56540,6285,0,6,16,37078,9566,26204,1307,11761,11525,0,185,8,3,0,315,16,1,0,3,1,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8360.0,2.0,0.0,0.0,8304.0,10.0,0.0,0.0,8316.0,1047.0,0.0,0.0,8352.0,189.0,1062.0,629.0,8473.0,604.0,0.0,0.0,8401.0,737.0,0.0,0.0,8300.0,8400.0,5008.0,5008.0,5001.0,7.0,6.0,4.9,553.6,428.7,411.5,331.0,220.3,380.1,,,,,,,851.8,365.1,1486.3000000000004,,,,TOP,SOLO,,,,,,,
95,478854115,LA1,1507752595375,1538,420,11,9,7.20.204.9809,CLASSIC,MATCHED_GAME,100,True,True,True,True,True,True,True,11,0,1,2,0,1,0,1,51,4,21,PLATINUM,1055,3031,3085,3094,1001,0,3363,4,1,0,3,1,1,904,0,0,0,0,0,136571,2647,133087,836,1403,12705,949,11727,28,3117,1,5931,11970,9845,12,20,12456,3883,8488,84,11126,9475,4,194,6,1,5,132,13,1,0,6,0,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,7.2,,391.1,310.0,,381.4,244.5,,1.3000000000000005,-0.09999999999999988,,75.0,-1.9499999999999889,,484.8,318.5,,-80.05000000000003,58.29999999999998,,BOTTOM,DUO_CARRY,,,,,,,
56,621606773,LA1,1540357153733,1581,420,11,11,8.20.249.1952,CLASSIC,MATCHED_GAME,100,True,False,True,True,False,False,True,9,0,0,2,0,1,0,1,98,4,3,GOLD,3097,2003,3109,3047,3082,3024,3364,1,2,7,0,1,0,991,0,0,0,0,0,23180,4236,12042,6900,0,5193,1752,3440,0,1807,5,12341,1019,620,27,23,9311,866,4608,3837,7084,5925,0,55,0,0,0,130,13,1,0,10,3,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8465.0,1092.0,0.0,0.0,8473.0,222.0,0.0,0.0,8429.0,62.0,19.0,10.0,8451.0,143.0,0.0,0.0,8304.0,10.0,0.0,0.0,8347.0,0.0,0.0,0.0,8400.0,8300.0,,,,2.0,2.9000000000000004,,370.4,394.7,,282.3,173.0,,,,,,,,428.0,92.7,,,,,BOTTOM,DUO,,,,,,,
68,613531963,LA1,1538535888553,1715,420,11,11,8.19.246.5109,CLASSIC,MATCHED_GAME,100,False,True,True,True,False,True,False,11,0,0,2,0,0,0,5,59,4,11,GOLD,1401,3110,3742,3009,1011,1028,3364,8,8,11,4,2,1,619,1,0,0,0,0,95397,32629,52517,10251,0,11987,3366,7483,1138,5699,1,29949,4282,150,13,26,32977,10263,21034,1679,10562,10550,0,26,73,59,0,1047,14,0,0,4,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021.0,1207.0,0.0,0.0,9111.0,1320.0,380.0,0.0,9104.0,12.0,0.0,0.0,8014.0,253.0,0.0,0.0,8473.0,698.0,0.0,0.0,8444.0,1025.0,0.0,0.0,8000.0,8400.0,,,,1.5,0.5,,372.9,351.7999999999999,,330.5,358.1,,0.2999999999999998,0.0,,-104.3,74.29999999999998,,1217.1,632.7,,685.9000000000002,168.50000000000006,,JUNGLE,NONE,,,,,,,
64,614000753,LA1,1538687515811,1896,420,11,11,8.19.246.5109,CLASSIC,MATCHED_GAME,200,False,False,False,False,False,False,False,1,0,0,1,0,0,0,8,56,4,11,GOLD,1412,3156,3047,3071,0,0,3364,8,6,3,2,2,3,595,1,0,0,0,0,112816,2529,105974,4312,0,11623,784,9978,860,12144,1,16568,6560,0,13,129,28935,8585,19389,960,10721,10200,0,37,83,74,0,446,14,1,0,5,1,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021.0,2456.0,0.0,0.0,9111.0,510.0,220.0,0.0,9104.0,16.0,50.0,0.0,8014.0,327.0,0.0,0.0,8143.0,118.0,0.0,0.0,8135.0,1892.0,5.0,0.0,8000.0,8100.0,,,,0.8999999999999999,0.3,2.3,427.4,272.9,528.4000000000002,373.2000000000001,216.3,409.4,-0.2,0.2,0.09999999999999988,56.20000000000002,-42.500000000000014,81.50000000000007,1013.0,715.8,1107.6999999999996,200.7,259.40000000000003,67.9999999999999,JUNGLE,NONE,,,,,,,
10,657180433,LA1,1548491451539,1301,420,11,13,9.2.261.2172,CLASSIC,MATCHED_GAME,200,False,False,False,False,False,False,False,1,0,0,0,0,0,0,6,427,4,11,GOLD,1039,2031,3117,3174,3504,3801,3364,2,5,5,2,2,1,525,1,0,0,0,0,275481,3609,1658,270214,0,3157,2115,846,195,2427,4,5941,694,694,9,28,8943,4368,4325,250,6986,6450,0,6,84,62,17,120,11,0,0,4,1,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8214.0,271.0,439.0,0.0,8275.0,3.0,0.0,0.0,8234.0,5984.0,0.0,0.0,8232.0,1.0,40.0,0.0,8321.0,2.0,0.0,0.0,8347.0,0.0,0.0,0.0,8200.0,8300.0,5008.0,5008.0,5001.0,0.4,0.2,,352.2,344.1,,272.0,335.9,,-1.1,-0.8,,-5.5,3.899999999999977,,718.5,175.8,,-198.0,-393.4,,JUNGLE,NONE,,,,,,,
