"gameId","platformId","gameCreation","gameDuration","queueId","mapId","seasonId","gameVersion","gameMode","gameType","teamId","win","firstBlood","firstTower","firstInhibitor","firstBaron","firstDragon","firstRiftHerald","towerKills","inhibitorKills","baronKills","dragonKills","vilemawKills","riftHeraldKills","dominionVictoryScore","participantId","championId","spell1Id","spell2Id","item0","item1","item2","item3","item4","item5","item6","kills","deaths","assists","largestKillingSpree","largestMultiKill","killingSprees","longestTimeSpentLiving","doubleKills","tripleKills","quadraKills","pentaKills","unrealKills","totalDamageDealt","magicDamageDealt","physicalDamageDealt","trueDamageDealt","largestCriticalStrike","totalDamageDealtToChampions","magicDamageDealtToChampions","physicalDamageDealtToChampions","trueDamageDealtToChampions","totalHeal","totalUnitsHealed","damageSelfMitigated","damageDealtToObjectives","damageDealtToTurrets","visionScore","timeCCingOthers","totalDamageTaken","magicalDamageTaken","physicalDamageTaken","trueDamageTaken","goldEarned","goldSpent","turretKills","totalMinionsKilled","neutralMinionsKilled","neutralMinionsKilledTeamJungle","neutralMinionsKilledEnemyJungle","totalTimeCrowdControlDealt","champLevel","visionWardsBoughtInGame","sightWardsBoughtInGame","wardsPlaced","wardsKilled","firstBloodKill","firstBloodAssist","firstTowerKill","firstTowerAssist","firstInhibitorKill","firstInhibitorAssist","combatPlayerScore","objectivePlayerScore","totalPlayerScore","totalScoreRank","playerScore0","playerScore1","playerScore2","playerScore3","playerScore4","playerScore5","playerScore6","playerScore7","playerScore8","playerScore9","perk0","perk0Var1","perk0Var2","perk0Var3","perk1","perk1Var1","perk1Var2","perk1Var3","perk2","perk2Var1","perk2Var2","perk2Var3","perk3","perk3Var1","perk3Var2","perk3Var3","perk4","perk4Var1","perk4Var2","perk4Var3","perk5","perk5Var1","perk5Var2","perk5Var3","perkPrimaryStyle","perkSubStyle","statPerk0","statPerk1","statPerk2","creepsPerMinDeltas_10-20","creepsPerMinDeltas_0-10","xpPerMinDeltas_10-20","xpPerMinDeltas_0-10","goldPerMinDeltas_10-20","goldPerMinDeltas_0-10","csDiffPerMinDeltas_10-20","csDiffPerMinDeltas_0-10","xpDiffPerMinDeltas_10-20","xpDiffPerMinDeltas_0-10","damageTakenPerMinDeltas_10-20","damageTakenPerMinDeltas_0-10","damageTakenDiffPerMinDeltas_10-20","damageTakenDiffPerMinDeltas_0-10","lane","role","creepsPerMinDeltas_30-end","creepsPerMinDeltas_20-30","xpPerMinDeltas_30-end","xpPerMinDeltas_20-30","goldPerMinDeltas_30-end","goldPerMinDeltas_20-30","csDiffPerMinDeltas_30-end","csDiffPerMinDeltas_20-30","xpDiffPerMinDeltas_30-end","xpDiffPerMinDeltas_20-30","damageTakenPerMinDeltas_30-end","damageTakenPerMinDeltas_20-30","damageTakenDiffPerMinDeltas_30-end","damageTakenDiffPerMinDeltas_20-30","highestAchievedSeasonTier"
767076867,"LA1",1572139029625,1368,420,11,13,"9.21.294.813","CLASSIC","MATCHED_GAME",200,true,true,true,true,false,true,false,10,0,0,2,0,0,0,7,92,4,12,3071,1054,1055,3133,3111,0,3340,3,4,3,3,1,1,303,0,0,0,0,0,101565,0,97658,3907,0,9099,0,8887,212,1095,1,8745,726,726,17,25,12597,1536,9885,1174,8422,6275,1,171,0,0,0,134,13,3,0,11,1,false,false,false,false,false,false,0,0,0,0,0,19,0,0,0,0,0,0,0,0,8010,212,83,212,9111,315,120,0,9104,18,50,0,8299,162,0,0,8304,11,1,5,8347,0,0,0,8000,8300,5008,5008,5002,8.6,5.9,522.1,399.1,381.1,226.3,,,,,508.9,537.9000000000001,,,"TOP","DUO",,,,,,,,,,,,,,,
766564590,"LA1",1572063126676,1245,420,11,13,"9.21.294.813","CLASSIC","MATCHED_GAME",200,false,false,false,false,false,true,true,2,0,0,2,0,1,0,7,92,4,12,3071,1054,3133,3047,0,0,3340,0,1,0,0,0,0,915,0,0,0,0,0,72936,0,63474,9461,0,2791,0,2694,96,90,1,7443,1951,1951,4,10,9066,2189,6275,600,6239,5500,0,153,0,0,0,79,12,0,0,3,1,false,false,false,false,,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8010,96,46,96,9111,0,0,0,9105,0,0,0,8299,41,0,0,8347,0,0,0,8304,12,0,0,8000,8300,5007,5008,5002,8.2,7,498.1,416,314.6,248,1.0000000000000004,0,-16.899999999999977,-30.30000000000001,434.4,282,172.2,95.5,"TOP","SOLO",,,,,,,,,,,,,,,
765371697,"LA1",1571869967634,1896,420,11,13,"9.21.294.813","CLASSIC","MATCHED_GAME",200,true,false,false,true,true,true,true,11,2,2,4,0,1,0,6,84,4,12,3146,1026,0,3020,3165,3151,3340,8,6,4,4,2,2,326,2,0,0,0,0,197542,150394,42843,4303,0,28031,20358,6860,813,11994,1,16080,7119,6343,39,6,29023,4842,21459,2721,14587,12600,4,252,4,4,0,91,18,6,0,17,3,false,false,false,false,true,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,727,254,715,9111,971,240,0,9103,28,40,0,8014,403,0,0,8138,30,0,0,8135,3842,5,0,8000,8100,5005,5008,5002,7.9,6.3,622.7,372.8,484.8,251.89999999999998,,,,,1064,470.4,,,"TOP","DUO",,9.4,,927.6,,513.2,,,,,,1028.1999999999998,,,
765326774,"LA1",1571867704802,1746,420,11,13,"9.21.294.813","CLASSIC","MATCHED_GAME",200,true,true,true,true,false,true,true,9,1,0,4,0,1,0,9,114,4,12,3074,1055,3078,1055,3047,3133,3340,3,6,2,2,1,1,768,0,0,0,0,0,170593,2814,151571,16207,560,17890,1079,12087,4722,6788,1,21026,10490,8031,25,5,26760,5620,19658,1480,11566,11088,3,211,6,4,1,121,16,5,0,15,0,true,false,false,false,true,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,524,232,561,9111,294,100,0,9104,18,40,0,8014,221,0,0,8143,367,0,0,8138,6,0,0,8000,8100,5005,5008,5002,9.5,6.3,687.6,405,508.8,270.2,0.2999999999999998,-0.20000000000000018,175.40000000000003,-14.5,681.3,708.7,80.5,93.6,"TOP","SOLO",,,,,,,,,,,,,,,
764540369,"LA1",1571717930448,1897,420,11,13,"9.20.292.2452","CLASSIC","MATCHED_GAME",200,true,true,true,true,true,true,true,11,0,2,4,0,1,0,9,92,4,12,3142,3071,3814,3812,3111,3035,3340,14,5,8,6,2,3,802,1,0,0,0,0,200169,61,191982,8126,0,31394,23,29733,1636,7731,1,38435,7833,4533,29,33,29366,7686,17391,4289,16895,16050,4,239,6,2,0,152,18,4,0,14,4,true,false,true,false,false,true,0,0,0,0,0,25,0,0,0,0,0,0,0,0,8010,1190,518,974,9111,1155,440,0,9104,12,0,0,8014,616,0,0,8304,9,0,0,8347,0,0,0,8000,8300,5008,5008,5002,9.6,6,641.6,527.4000000000001,578.2,407.1,1.1999999999999997,-0.5999999999999996,186.8,118.30000000000004,561.3,670.3,71.99999999999997,81.8,"TOP","SOLO",,7.8,,669.4,,534.5,,2.6,,247.59999999999997,,1388.7,,228.7,
764512875,"LA1",1571715361926,2026,420,11,13,"9.20.292.2452","CLASSIC","MATCHED_GAME",200,true,true,true,false,false,false,true,10,0,1,2,0,1,0,8,92,4,12,3142,3812,3133,3071,1036,3047,3340,13,7,6,7,3,2,1092,2,1,0,0,0,224978,0,222089,2889,0,32359,0,30636,1723,7814,1,41038,6889,6040,26,40,33209,12117,17627,3465,16956,13510,1,251,13,0,12,218,18,2,0,14,1,false,false,false,false,false,false,0,0,0,0,0,31,0,0,0,0,0,0,0,0,8010,1559,812,1615,9111,1069,380,0,9104,12,40,0,8014,755,0,0,8304,9,0,0,8347,0,0,0,8000,8300,5008,5008,5002,8.399999999999999,7.4,686.0999999999999,508.7,534.9,357.6,3.6999999999999993,0.9999999999999996,348.4,57.89999999999998,769.4,302.1,-176.10000000000002,-110.4,"TOP","SOLO",,5.300000000000001,,420.90000000000003,,376.3,,1.8000000000000003,,-120.89999999999998,,1754.4,,597.1,
761001723,"LA1",1571072031521,1658,420,11,13,"9.20.292.2452","CLASSIC","MATCHED_GAME",200,false,true,false,false,false,false,true,3,0,0,0,0,1,0,10,114,4,12,3074,3078,3052,3111,1037,1053,3340,12,7,2,6,3,2,462,1,1,0,0,0,153908,2393,135737,15778,583,28012,1183,19856,6972,9459,2,25429,8085,6938,22,10,34517,10715,20950,2851,13978,12258,2,196,0,0,0,189,16,4,0,13,0,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,1542,911,1937,9111,679,280,0,9104,15,0,0,8014,424,0,0,8210,0,0,0,8236,14,0,0,8000,8200,5005,5008,5002,7.8,7.2,655.8,490.4,619.7,370.20000000000005,1.3000000000000003,1.8000000000000003,177.9,80.59999999999997,883,546.7,16.40000000000009,88.60000000000002,"TOP","SOLO",,,,,,,,,,,,,,,
760983068,"LA1",1571069570653,1812,420,11,13,"9.20.292.2452","CLASSIC","MATCHED_GAME",100,false,true,false,false,false,false,false,3,0,0,1,0,0,0,4,92,4,12,3142,3812,3071,1055,3111,0,3340,7,3,1,6,1,1,843,0,0,0,0,0,151988,5506,145005,1475,0,21604,818,19310,1475,2713,1,22727,4038,3694,17,36,19996,8963,10221,811,11632,11375,1,217,4,0,0,161,16,1,0,11,1,false,false,false,false,false,false,0,0,0,0,0,26,0,0,0,0,0,0,0,0,8010,1475,789,1780,9111,397,160,0,9104,18,20,0,8014,634,0,0,8304,12,0,0,8347,0,0,0,8000,8300,5007,5008,5003,7.9,5.7,653.9,420.4,487.29999999999995,225.60000000000002,,,,,690.3,361.7,,,"TOP","DUO",,8.1,,535.2,,397.9,,,,,,947.6,,,
760975790,"LA1",1571066929382,1781,420,11,13,"9.20.292.2452","CLASSIC","MATCHED_GAME",100,true,false,false,true,true,false,false,9,1,1,1,0,0,0,3,92,4,12,3142,3071,3812,3036,3047,0,3340,16,2,5,13,3,2,454,3,1,0,0,0,165737,6398,155260,4078,0,33445,1494,29801,2148,8603,1,37656,17310,6260,26,39,24641,7457,12799,4385,15544,14400,1,198,8,4,4,158,16,4,0,14,1,false,false,false,false,false,true,0,0,0,0,0,27,0,0,0,0,0,0,0,0,8010,2080,834,2090,9111,1665,420,0,9104,16,40,0,8014,841,0,0,8304,11,1,5,8347,0,0,0,8000,8300,5007,5008,5002,6.5,6.2,497.7,386.1,553.7,222.6,-1.0000000000000004,-0.3999999999999999,84.39999999999998,-56.60000000000002,707.3,415.3,-86.6,36.80000000000001,"TOP","SOLO",,,,,,,,,,,,,,,
760938863,"LA1",1571065370200,193,420,11,13,"9.20.292.2452","CLASSIC","MATCHED_GAME",200,false,false,false,false,false,false,false,0,0,0,0,0,0,0,7,92,4,12,2003,1036,0,0,0,0,3340,0,0,0,0,0,0,0,0,0,0,0,0,1870,0,1846,23,0,398,0,374,23,20,1,142,0,0,0,2,386,110,275,0,762,550,0,5,0,0,0,10,2,0,0,1,0,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8010,23,8,23,9111,0,0,0,9104,0,0,0,8014,0,0,0,8304,0,0,0,8347,0,0,0,8000,8300,5007,5008,5003,,,,,,,,,,,,,,,"NONE","DUO",,,,,,,,,,,,,,,
