"gameId","platformId","gameCreation","gameDuration","queueId","mapId","seasonId","gameVersion","gameMode","gameType","teamId","win","firstBlood","firstTower","firstInhibitor","firstBaron","firstDragon","firstRiftHerald","towerKills","inhibitorKills","baronKills","dragonKills","vilemawKills","riftHeraldKills","dominionVictoryScore","participantId","championId","spell1Id","spell2Id","item0","item1","item2","item3","item4","item5","item6","kills","deaths","assists","largestKillingSpree","largestMultiKill","killingSprees","longestTimeSpentLiving","doubleKills","tripleKills","quadraKills","pentaKills","unrealKills","totalDamageDealt","magicDamageDealt","physicalDamageDealt","trueDamageDealt","largestCriticalStrike","totalDamageDealtToChampions","magicDamageDealtToChampions","physicalDamageDealtToChampions","trueDamageDealtToChampions","totalHeal","totalUnitsHealed","damageSelfMitigated","damageDealtToObjectives","damageDealtToTurrets","visionScore","timeCCingOthers","totalDamageTaken","magicalDamageTaken","physicalDamageTaken","trueDamageTaken","goldEarned","goldSpent","turretKills","totalMinionsKilled","neutralMinionsKilled","neutralMinionsKilledTeamJungle","neutralMinionsKilledEnemyJungle","totalTimeCrowdControlDealt","champLevel","visionWardsBoughtInGame","sightWardsBoughtInGame","wardsPlaced","wardsKilled","firstBloodKill","firstBloodAssist","firstTowerKill","firstTowerAssist","firstInhibitorKill","firstInhibitorAssist","combatPlayerScore","objectivePlayerScore","totalPlayerScore","totalScoreRank","playerScore0","playerScore1","playerScore2","playerScore3","playerScore4","playerScore5","playerScore6","playerScore7","playerScore8","playerScore9","perk0","perk0Var1","perk0Var2","perk0Var3","perk1","perk1Var1","perk1Var2","perk1Var3","perk2","perk2Var1","perk2Var2","perk2Var3","perk3","perk3Var1","perk3Var2","perk3Var3","perk4","perk4Var1","perk4Var2","perk4Var3","perk5","perk5Var1","perk5Var2","perk5Var3","perkPrimaryStyle","perkSubStyle","statPerk0","statPerk1","statPerk2","creepsPerMinDeltas_10-20","creepsPerMinDeltas_0-10","xpPerMinDeltas_10-20","xpPerMinDeltas_0-10","goldPerMinDeltas_10-20","goldPerMinDeltas_0-10","csDiffPerMinDeltas_10-20","csDiffPerMinDeltas_0-10","xpDiffPerMinDeltas_10-20","xpDiffPerMinDeltas_0-10","damageTakenPerMinDeltas_10-20","damageTakenPerMinDeltas_0-10","damageTakenDiffPerMinDeltas_10-20","damageTakenDiffPerMinDeltas_0-10","lane","role","highestAchievedSeasonTier","creepsPerMinDeltas_30-end","creepsPerMinDeltas_20-30","xpPerMinDeltas_30-end","xpPerMinDeltas_20-30","goldPerMinDeltas_30-end","goldPerMinDeltas_20-30","damageTakenPerMinDeltas_30-end","damageTakenPerMinDeltas_20-30","csDiffPerMinDeltas_30-end","csDiffPerMinDeltas_20-30","xpDiffPerMinDeltas_30-end","xpDiffPerMinDeltas_20-30","damageTakenDiffPerMinDeltas_30-end","damageTakenDiffPerMinDeltas_20-30"
710476942,"LA1",1560618296156,199,420,11,13,"9.12.277.6038","CLASSIC","MATCHED_GAME",200,false,true,false,false,false,false,false,0,0,0,0,0,0,0,10,29,4,7,2003,1055,2010,0,0,0,3340,0,0,0,0,0,0,0,0,0,0,0,0,1542,0,1468,74,0,243,0,226,17,174,2,288,0,0,1,0,853,390,451,12,822,500,0,7,0,0,0,0,2,0,0,1,0,false,false,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,0,0,0,9111,0,0,0,9104,0,0,0,8014,0,0,0,8304,0,0,0,8345,1,0,0,8000,8300,5005,5008,5002,,,,,,,,,,,,,,,"NONE","DUO","SILVER",,,,,,,,,,,,,,
705722729,"LA1",1559533183593,2014,420,11,13,"9.11.275.6613","CLASSIC","MATCHED_GAME",100,false,false,true,false,false,false,false,4,0,0,1,0,0,0,2,67,4,7,3153,1038,3006,3046,3094,3035,3340,10,9,8,4,2,2,628,2,0,0,0,0,122013,4117,92149,25746,338,27043,1315,17080,8647,6479,3,14444,6825,5136,22,8,27972,8230,16943,2798,13331,13300,2,155,8,5,0,85,15,2,0,12,1,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,2002,1112,890,9111,1451,360,0,9104,17,40,0,8014,485,0,0,8139,978,0,0,8135,2650,5,0,8000,8100,5005,5008,5002,6.1,3.4,428.4,323.9,381.1,234.8,-0.10000000000000031,-1.6500000000000004,92.35,-17.649999999999977,699.1,501.2,21.49999999999997,85.4,"BOTTOM","DUO_CARRY","SILVER",,5.2,,606.8,,541.8,,858.5999999999999,,1.3499999999999999,,-5.649999999999977,,-64.35000000000008
704583600,"LA1",1559324557886,1368,420,11,13,"9.11.275.6613","CLASSIC","MATCHED_GAME",100,false,true,false,false,false,true,false,0,0,0,1,0,0,0,4,67,4,7,3153,3006,1055,1042,1042,2003,3340,3,6,2,2,1,1,551,0,0,0,0,0,51779,441,40733,10604,0,8947,441,6597,1908,2348,1,6482,1641,756,16,6,15946,4920,10663,362,6792,5625,0,102,0,0,0,19,11,1,0,8,0,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,459,358,101,9111,87,100,0,9104,20,20,0,8014,179,0,0,8139,420,0,0,8135,856,4,0,8000,8100,5005,5008,5002,3.6,5.1,409.9,292.1,293.4,240,-0.9500000000000001,-1.3499999999999999,-48.20000000000002,-40.5,823.9,311.2,74.54999999999995,9.599999999999959,"BOTTOM","DUO_CARRY","SILVER",,,,,,,,,,,,,,
703649009,"LA1",1559092016807,2350,420,11,13,"9.10.274.8345","CLASSIC","MATCHED_GAME",100,true,false,true,true,true,true,true,11,1,2,4,0,1,0,1,126,4,12,3142,3026,3158,3072,0,3071,3363,9,6,11,6,2,2,1224,1,0,0,0,0,153048,17048,131394,4606,0,28186,5536,22418,232,9285,1,23825,25009,3734,41,9,35355,10941,21885,2528,14462,14075,1,181,30,11,2,100,18,1,0,12,2,false,false,false,false,true,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8214,1795,173,0,8226,250,769,0,8233,21,30,0,8237,619,0,0,8139,1590,0,0,8135,2348,5,0,8200,8100,5008,5008,5002,7.2,7.7,546.7,448.9,428.9,316.1,2.2,1,218.4,40.900000000000006,574.2,426.09999999999997,-308.90000000000003,-117.00000000000003,"TOP","SOLO","SILVER",2.2,1.8,530.4,443.29999999999995,394,320.6,1954.4,1212,-0.5999999999999996,-3.1,82,-66.40000000000003,91.80000000000018,328.59999999999997
701702986,"LA1",1558644759741,1970,420,11,13,"9.10.274.8345","CLASSIC","MATCHED_GAME",100,false,false,false,false,false,false,false,2,0,0,0,0,0,0,4,51,4,7,3006,3094,3031,2015,1055,1036,3363,3,11,7,0,1,0,446,0,0,0,0,0,119022,3994,115027,0,697,14088,1215,12872,0,3760,2,10904,3492,1667,25,17,25699,9764,15340,594,9516,8600,0,148,8,5,0,43,14,2,0,11,2,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8021,1414,0,0,9111,674,200,0,9104,19,30,0,8014,249,0,0,8304,9,4,5,8345,4,0,0,8000,8300,5005,5008,5002,4.699999999999999,3.5,384.3,311.8,288.4,216.10000000000002,,,,,625.4,427.29999999999995,,,"BOTTOM","DUO_CARRY","SILVER",,5.8,,506,,343.4,,1022.0999999999999,,,,,,
701687690,"LA1",1558642301186,1903,420,11,13,"9.10.274.8345","CLASSIC","MATCHED_GAME",200,true,false,false,true,true,false,false,11,0,1,1,0,0,0,7,29,4,7,3389,3046,3085,0,3006,0,3340,6,7,12,2,2,2,744,2,0,0,0,0,124159,1566,97628,24964,388,20419,941,16520,2956,2936,3,11846,12528,5044,34,14,23002,4529,16562,1910,12029,10405,2,130,12,4,5,246,15,1,0,11,2,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,1353,574,778,9111,640,360,0,9104,16,10,0,8014,433,0,0,8304,11,1,5,8345,4,0,0,8000,8300,5005,5008,5002,3.7,5.8999999999999995,340.4,358.1,428.5,207.3,2.220446049250313e-16,-1.3500000000000003,-40.14999999999995,-37.900000000000034,843,298.8,-179.60000000000002,81.99999999999999,"BOTTOM","DUO_CARRY","SILVER",,2.7,,487.90000000000003,,400.1,,879,,-0.8499999999999999,,33.55000000000001,,-280.1499999999999
701666378,"LA1",1558640169261,1599,420,11,13,"9.10.274.8345","CLASSIC","MATCHED_GAME",200,false,true,false,false,false,false,false,1,0,0,0,0,0,0,10,29,4,7,3153,3036,3006,3046,3085,0,3340,10,7,8,3,2,3,470,2,0,0,0,0,95613,284,87725,7603,435,14555,284,11861,2409,2008,2,9782,4934,3260,10,17,18712,5768,12823,120,12803,12600,0,144,6,5,0,300,14,0,0,8,0,true,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,1090,705,384,9111,398,360,0,9104,15,40,0,8014,357,0,0,8304,9,4,5,8345,4,0,0,8000,8300,5005,5008,5002,6.9,5.3,574.2,304.9,556.3,306.6,2.05,1.7499999999999998,77.30000000000001,-24.150000000000006,617.2,291.9,40.55000000000001,-22.80000000000001,"BOTTOM","DUO_CARRY","SILVER",,,,,,,,,,,,,,
701663184,"LA1",1558637687722,1969,420,11,13,"9.10.274.8345","CLASSIC","MATCHED_GAME",200,true,false,true,true,true,true,true,10,1,1,4,0,1,0,7,67,4,7,3153,0,3046,3006,1055,2015,3340,2,7,11,0,1,0,455,0,0,0,0,0,98316,1148,73275,23892,349,10515,459,6769,3285,4630,3,11281,10064,2257,27,5,21381,4677,14817,1887,11782,8625,2,166,20,9,4,50,16,3,0,14,3,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,895,490,404,9111,756,260,0,9104,22,50,0,8014,182,0,0,8139,535,0,0,8135,1439,5,0,8000,8100,5005,5008,5002,6.300000000000001,5.800000000000001,433.7,270.3,299.3,215.3,-0.2999999999999996,-1.0499999999999998,-81.00000000000003,-20.25,448.4,240.5,87.94999999999999,64.6,"BOTTOM","DUO_CARRY","SILVER",,4,,560,,439.1,,1001.3,,-1.1500000000000001,,6.600000000000023,,-73.74999999999989
701639505,"LA1",1558634919466,2250,420,11,13,"9.10.274.8345","CLASSIC","MATCHED_GAME",200,true,false,true,true,true,false,true,11,0,1,2,0,1,0,9,23,4,12,3153,1055,3006,3087,3031,1036,3364,3,10,4,2,1,1,573,0,0,0,0,0,208557,27207,168618,12731,665,22460,2681,18558,1220,6944,1,51635,22903,8536,39,4,42619,7412,31818,3388,12695,11775,3,189,23,13,8,50,17,3,0,15,1,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8008,2,0,0,9111,777,140,0,9104,19,40,0,8299,1545,0,0,8275,10,0,0,8210,0,0,0,8000,8200,5005,5008,5002,4.9,4.9,463.9,443.4,378.29999999999995,204.2,0.20000000000000018,-2.9000000000000004,19.299999999999983,-95.39999999999998,1147.5,429,273.4,128.4,"TOP","SOLO","SILVER",1.2,6.9,337,522.4,268.4,421.2,1401.2,1282.6,-1.0000000000000002,0,-48.80000000000001,-103.10000000000002,-543.3999999999999,-597.1
701626730,"LA1",1558632140654,2287,420,11,13,"9.10.274.8345","CLASSIC","MATCHED_GAME",200,true,false,true,true,true,true,true,8,0,1,2,0,1,0,8,126,4,12,3142,3158,3071,3036,1055,1036,3340,5,7,10,2,1,1,569,0,0,0,0,0,143224,14237,120112,8874,0,23323,4959,18363,0,6272,1,20188,23671,3990,32,9,35666,18096,16956,612,12521,10750,1,179,8,4,0,115,17,2,0,14,2,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8214,1439,759,0,8226,250,754,0,8233,21,40,0,8237,528,0,0,8139,1641,0,0,8135,1608,4,0,8200,8100,5008,5008,5002,6,7.1,432.5,458.5,371.4,238.6,-1,1,-167.7,74.20000000000002,685.4,329,-144,-183.6,"TOP","SOLO","SILVER",1,4.2,385.6,407.5,229.6,345.3,1645.6,1075,-4.4,1.7000000000000002,-294,-46.20000000000002,-315.4000000000001,-337.59999999999985
701634028,"LA1",1558629835693,1744,420,11,13,"9.10.274.8345","CLASSIC","MATCHED_GAME",200,true,false,false,true,true,true,false,5,0,1,3,0,0,0,6,67,4,7,3153,2003,3046,0,1055,3006,3363,2,3,4,2,1,1,1097,0,0,0,0,0,69675,72,54088,15514,389,5028,72,4041,914,3145,5,6415,13808,2572,19,1,15665,5555,9699,410,8386,7925,0,112,16,9,0,16,13,1,0,10,3,false,false,false,false,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,310,239,71,9111,230,120,0,9104,19,40,0,8014,62,0,0,8139,439,0,0,8135,798,2,0,8000,8100,5005,5008,5002,4.5,4.4,307.1,331.29999999999995,229.8,244.10000000000002,0.9500000000000002,2.220446049250313e-16,83,13.250000000000014,640.8,339.2,-3.349999999999966,-43.599999999999994,"BOTTOM","DUO_CARRY","SILVER",,,,,,,,,,,,,,
701439802,"LA1",1558581074353,1281,420,11,13,"9.10.274.8345","CLASSIC","MATCHED_GAME",100,true,true,true,true,true,true,true,11,0,1,2,0,1,0,2,67,4,7,3153,3046,2003,3006,1055,0,3340,7,1,5,6,2,1,1125,1,0,0,0,0,57476,591,48239,8646,324,9200,591,7161,1448,2952,3,3863,8502,4951,12,4,8974,2132,6632,210,9395,7725,0,130,8,4,4,31,12,1,0,7,0,true,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,684,590,94,9111,391,240,0,9104,16,30,0,8014,183,0,0,8139,500,0,0,8135,458,5,0,8000,8100,5005,5008,5002,6.5,6.5,394,341.9,468.7,312.6,1.6999999999999997,1.5499999999999996,89.75,38.40000000000002,526.6,209.39999999999998,45.45000000000002,-20.700000000000003,"BOTTOM","DUO_CARRY","SILVER",,,,,,,,,,,,,,
701443897,"LA1",1558578470653,1927,420,11,13,"9.10.274.8345","CLASSIC","MATCHED_GAME",200,true,true,false,false,true,true,false,7,0,2,1,0,0,0,9,222,4,7,3031,1055,3006,3085,3095,3086,3340,6,5,5,4,1,1,634,0,0,0,0,0,196173,2730,165661,27781,647,20125,1010,18727,388,2365,4,8987,15901,7207,21,20,18082,7025,10921,135,13579,11725,2,230,2,2,0,205,16,1,0,11,1,true,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8008,2,40,0,9111,271,220,0,9103,28,50,0,8014,311,0,0,8304,9,4,5,8345,4,0,0,8000,8300,5005,5008,5002,6,7,361.9,323.4,270.4,295.7,-0.40000000000000013,1.15,-178.34999999999997,26.100000000000023,712.5999999999999,276.20000000000005,267.85,-28.899999999999963,"BOTTOM","DUO_CARRY","SILVER",,9.5,,667.8,,590.8,,696.4000000000001,,2.45,,145.55,,100.49999999999994
